ICD-O Code	Level	Term Type	Term Type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT string (Preferred term)
8982/0	Synonym	SY	Synonym	Myoepithelial tumor	C0027070	C40392	Myoepithelial Tumor
8982/3	4	PT	Preferred term	Malignant myoepithelioma	C0334699	C7596	Malignant Myoepithelioma
8982/3	Synonym	SY	Synonym	Myoepithelial carcinoma	C0334699	C7596	Malignant Myoepithelioma
8983/0	4	PT	Preferred term	Adenomyoepithelioma	C1266146		
8990/0	4	PT	Preferred term	Mesenchymoma, benign	C0334491	C4267	Benign Mesenchymoma
8990/1	4	PT	Preferred term	Mesenchymoma, NOS	C0025464	C3233	Mesenchymoma
8990/1	Synonym	SY	Synonym	Mixed mesenchymal tumor	C0025464	C3233	Mesenchymoma
8990/3	4	PT	Preferred term	Mesenchymoma, malignant	C0334492	C4268	Malignant Mesenchymoma
8990/3	Synonym	SY	Synonym	Mixed mesenchymal sarcoma	C0334492	C4268	Malignant Mesenchymoma
8991/3	4	PT	Preferred term	Embryonal sarcoma	C0855073	C27096	Undifferentiated (Embryonal) Sarcoma
900-903	2	HT	Hierarchical term	Fibroepithelial neoplasms	C0206649	C3743	Fibroepithelial Neoplasm
9000/0	4	PT	Preferred term	Brenner tumor, NOS	CL323981	C39954	Brenner Tumor
9000/1	4	PT	Preferred term	Brenner tumor, borderline malignancy	C0334494	C9459	Borderline Ovarian Brenner Tumor/Atypical Proliferative Ovarian Brenner Tumor
9000/1	Synonym	SY	Synonym	Brenner tumor, proliferating	C0334494	C9459	Borderline Ovarian Brenner Tumor/Atypical Proliferative Ovarian Brenner Tumor
9000/3	4	PT	Preferred term	Brenner tumor, malignant	C0334495	C4270	Malignant Ovarian Brenner Tumor
9010/0	4	PT	Preferred term	Fibroadenoma, NOS	C0206650	C3744	Breast Fibroadenoma
9011/0	4	PT	Preferred term	Intracanalicular fibroadenoma	C0334496	C4271	Breast Intracanalicular Fibroadenoma
9012/0	4	PT	Preferred term	Pericanalicular fibroadenoma	C0334497	C4272	Breast Pericanalicular Fibroadenoma
9013/0	4	PT	Preferred term	Adenofibroma, NOS	C0001422	C8984	Female Reproductive System Adenofibroma
9013/0	Related	RT	Related term	Cystadenofibroma, NOS	C0334317	C8985	Cystadenofibroma
9013/0	Related	RT	Related term	Papillary adenofibroma	C1377850	C8986	Papillary Adenofibroma
9014/0	4	PT	Preferred term	Serous adenofibroma, NOS	C0334498	C67090	Serous Adenofibroma
9014/0	Related	RT	Related term	Serous cystadenofibroma, NOS	CL027594		
9014/1	4	PT	Preferred term	Serous adenofibroma of borderline malignancy	CL018098		
9014/1	Related	RT	Related term	Serous cystadenofibroma of borderline malignancy	C1266152		
9014/3	4	PT	Preferred term	Serous adenocarcinofibroma	C1266153		
9014/3	Related	RT	Related term	Serous cystadenocarcinofibroma	C1266153		
9014/3	Synonym	SY	Synonym	Malignant serous adenofibroma	C1266153		
9014/3	Synonym	SY	Synonym	Malignant serous cystadenofibroma	C1266153		
9015/0	4	PT	Preferred term	Mucinous adenofibroma, NOS	C0334499	C8978	Mucinous Adenofibroma
9015/0	Related	RT	Related term	Mucinous cystadenofibroma, NOS	C1377844	C8979	Mucinous Cystadenofibroma
9015/1	4	PT	Preferred term	Mucinous adenofibroma of borderline malignancy	C1266154		
9015/1	Related	RT	Related term	Mucinous cystadenofibroma of borderline malignancy	CL018103		
9015/3	4	PT	Preferred term	Mucinous adenocarcinofibroma	C1266155		
9015/3	Related	RT	Related term	Mucinous cystadenocarcinofibroma	C1266155		
9015/3	Synonym	SY	Synonym	Malignant mucinous adenofibroma	C1266155		
9015/3	Synonym	SY	Synonym	Malignant mucinous cystadenofibroma	C1266155		
9016/0	4	PT	Preferred term	Giant fibroadenoma	C0334500	C4273	Breast Giant Fibroadenoma
9020/0	4	PT	Preferred term	Phyllodes tumor, benign	C0334501	C4274	Benign Phyllodes Tumor
9020/0	Synonym	IS	Inactive (obsolete) synonym	Cystosarcoma phyllodes, benign	C0334501	C4274	Benign Phyllodes Tumor
9020/1	4	PT	Preferred term	Phyllodes tumor, borderline	C1370913	C7503	Borderline Phyllodes Tumor
9020/1	Synonym	SY	Synonym	Cystosarcoma phyllodes, NOS	C0010701	C2977	Phyllodes Tumor
9020/1	Synonym	SY	Synonym	Phyllodes tumor, NOS	C0010701	C2977	Phyllodes Tumor
9020/3	4	PT	Preferred term	Phyllodes tumor, malignant	C0600066	C4275	Malignant Phyllodes Tumor
9020/3	Synonym	SY	Synonym	Cystosarcoma phyllodes, malignant	C0600066	C4275	Malignant Phyllodes Tumor
9030/0	4	PT	Preferred term	Juvenile fibroadenoma	C0346158	C4276	Breast Juvenile Fibroadenoma
904	2	HT	Hierarchical term	Synovial-like neoplasms	C0334504		
9040/0	4	PT	Preferred term	Synovioma, benign	C0221289	C3829	Benign Synovial Neoplasm
9040/3	4	PT	Preferred term	Synovial sarcoma, NOS	C0039101	C3400	Synovial Sarcoma
9040/3	Synonym	SY	Synonym	Synovioma, NOS	C0039101	C3400	Synovial Sarcoma
9040/3	Synonym	SY	Synonym	Synovioma, malignant	C0039101	C3400	Synovial Sarcoma
9041/3	4	PT	Preferred term	Synovial sarcoma, spindle cell	C0334505	C4277	Spindle Cell Synovial Sarcoma
9041/3	Synonym	SY	Synonym	Synovial sarcoma, monophasic fibrous	C0334505	C4277	Spindle Cell Synovial Sarcoma
9042/3	4	PT	Preferred term	Synovial sarcoma, epithelioid cell	C0334506	C4278	Epithelial Synovial Sarcoma
9043/3	4	PT	Preferred term	Synovial sarcoma, biphasic	C0334507	C4279	Biphasic Synovial Sarcoma
9044/3	4	PT	Preferred term	Clear cell sarcoma, NOS	C0206651	C3745	Clear Cell Sarcoma of Soft Tissue
9044/3	Related	RT	Related term	Clear cell sarcoma, of tendons and aponeuroses	C0334509		
9044/3	Related	RT	Related term	Melanoma, malignant, of soft parts	C0206651	C3745	Clear Cell Sarcoma of Soft Tissue
905	2	HT	Hierarchical term	Mesothelial neoplasms	C3714739	C3786	Mesothelial Neoplasm
9050/0	4	PT	Preferred term	Mesothelioma, benign	C0206675	C3762	Adenomatoid Tumor
9050/3	4	PT	Preferred term	Mesothelioma, malignant	C0345967	C4456	Malignant Mesothelioma
9050/3	Synonym	SY	Synonym	Mesothelioma, NOS	C0025500	C3234	Mesothelioma
9051/0	4	PT	Preferred term	Fibrous mesothelioma, benign	C0334511	C4457	Pleural Solitary Fibrous Tumor
9051/3	4	PT	Preferred term	Fibrous mesothelioma, malignant	C0334513	C45655	Sarcomatoid Mesothelioma
9051/3	Synonym	SY	Synonym	Desmoplastic mesothelioma	C1270206	C6747	Desmoplastic Mesothelioma
9051/3	Synonym	SY	Synonym	Fibrous mesothelioma, NOS	C0334513	C45655	Sarcomatoid Mesothelioma
9051/3	Synonym	SY	Synonym	Sarcomatoid mesothelioma	C0334513	C45655	Sarcomatoid Mesothelioma
9051/3	Synonym	SY	Synonym	Spindled mesothelioma	C0334513	C45655	Sarcomatoid Mesothelioma
9052/0	4	PT	Preferred term	Epithelioid mesothelioma, benign	C0206675	C3762	Adenomatoid Tumor
9052/0	Related	RT	Related term	Well differentiated papillary mesothelioma, benign	CL018109		
9052/0	Synonym	SY	Synonym	Mesothelial papilloma	CL018109		
9052/3	4	PT	Preferred term	Epithelioid mesothelioma, malignant	C0862312	C7985	Epithelioid Mesothelioma
9052/3	Synonym	SY	Synonym	Epithelioid mesothelioma, NOS	C0862312	C7985	Epithelioid Mesothelioma
9053/3	4	PT	Preferred term	Mesothelioma, biphasic, malignant	C0334515	C4282	Biphasic Mesothelioma
9053/3	Synonym	SY	Synonym	Mesothelioma, biphasic, NOS	C0334515	C4282	Biphasic Mesothelioma
9054/0	4	PT	Preferred term	Adenomatoid tumor, NOS	C0206675	C3762	Adenomatoid Tumor
9055/0	4	PT	Preferred term	Multicystic mesothelioma, benign	C1266156		
9055/0	Synonym	SY	Synonym	Cystic mesothelioma, benign	C1266156		
9055/1	4	PT	Preferred term	Cystic mesothelioma, NOS	C0206680	C3765	Multicystic Mesothelioma
906-909	2	HT	Hierarchical term	Germ cell neoplasms	C0205851	C3708	Germ Cell Tumor
9060/3	4	PT	Preferred term	Dysgerminoma	C0013377	C2996	Dysgerminoma
9061/3	4	PT	Preferred term	Seminoma, NOS	C0036631	C9309	Seminoma
9062/3	4	PT	Preferred term	Seminoma, anaplastic	C0334516	C39920	Testicular Seminoma with High Mitotic Index
9062/3	Synonym	SY	Synonym	Seminoma with high mitotic index	C0334516	C39920	Testicular Seminoma with High Mitotic Index
9063/3	4	PT	Preferred term	Spermatocytic seminoma	C0334517	C39921	Testicular Spermatocytic Seminoma
9063/3	Synonym	SY	Synonym	Spermatocytoma	C0334517	C39921	Testicular Spermatocytic Seminoma
9064/2	4	PT	Preferred term	Intratubular malignant germ cells	C1266157		
9064/2	Synonym	SY	Synonym	Intratubular germ cell neoplasia	C1266157		
9064/3	4	PT	Preferred term	Germinoma	C0206660	C3753	Germinoma
9064/3	Synonym	SY	Synonym	Germ cell tumor, NOS	C0205851	C3708	Germ Cell Tumor
9065/3	4	PT	Preferred term	Germ cell tumor, nonseminomatous	C1266158	C121619	Nongerminomatous Germ Cell Tumor
9070/3	4	PT	Preferred term	Embryonal carcinoma, NOS	C0206659	C3752	Embryonal Carcinoma
9070/3	Synonym	SY	Synonym	Embryonal adenocarcinoma	C0206659	C3752	Embryonal Carcinoma
9071/3	4	PT	Preferred term	Yolk sac tumor	C0014145	C3011	Yolk Sac Tumor
9071/3	Related	RT	Related term	Hepatoid yolk sac tumor	CL018113		
9071/3	Synonym	SY	Synonym	Embryonal carcinoma, infantile	C0014145	C3011	Yolk Sac Tumor
9071/3	Synonym	SY	Synonym	Endodermal sinus tumor	C0014145	C3011	Yolk Sac Tumor
9071/3	Synonym	SY	Synonym	Orchioblastoma	C0014145	C3011	Yolk Sac Tumor
9071/3	Synonym	SY	Synonym	Polyvesicular vitelline tumor	C0014145	C3011	Yolk Sac Tumor
9072/3	4	PT	Preferred term	Polyembryoma	C0334518		
9072/3	Synonym	SY	Synonym	Embryonal carcinoma, polyembryonal type	C0334518		
9073/1	4	PT	Preferred term	Gonadoblastoma	C0206661	C3754	Gonadoblastoma
9073/1	Synonym	SY	Synonym	Gonocytoma	C0206661	C3754	Gonadoblastoma
9080/0	4	PT	Preferred term	Teratoma, benign	C1368910	C9015	Mature Teratoma
9080/0	Synonym	SY	Synonym	Adult cystic teratoma	CL033098	C9012	Adult Cystic Teratoma
9080/0	Synonym	SY	Synonym	Adult teratoma, NOS	C1368888	C9013	Adult Teratoma
9080/0	Synonym	SY	Synonym	Cystic teratoma, NOS	C1368903	C9014	Cystic Teratoma
9080/0	Synonym	SY	Synonym	Mature teratoma	C1368910	C9015	Mature Teratoma
9080/0	Synonym	SY	Synonym	Teratoma, differentiated	C1368910	C9015	Mature Teratoma
9080/1	4	PT	Preferred term	Teratoma, NOS	C0039538	C3403	Teratoma
9080/1	Synonym	SY	Synonym	Solid teratoma	C0039538	C3403	Teratoma
9080/3	4	PT	Preferred term	Teratoma, malignant, NOS	C0334520	C4286	Immature Teratoma
9080/3	Related	RT	Related term	Immature teratoma, malignant	C0334520	C4286	Immature Teratoma
9080/3	Synonym	SY	Synonym	Embryonal teratoma	C0334520	C4286	Immature Teratoma
9080/3	Synonym	SY	Synonym	Immature teratoma, NOS	C0334520	C4286	Immature Teratoma
9080/3	Synonym	SY	Synonym	Teratoblastoma, malignant	C0334520	C4286	Immature Teratoma
9081/3	4	PT	Preferred term	Teratocarcinoma	C0206664	C3756	Mixed Embryonal Carcinoma and Teratoma
9081/3	Synonym	SY	Synonym	Mixed embryonal carcinoma and teratoma	C0206664	C3756	Mixed Embryonal Carcinoma and Teratoma
9082/3	4	PT	Preferred term	Malignant teratoma, undifferentiated	C0334521	C4287	Undifferentiated Immature Teratoma
9082/3	Synonym	SY	Synonym	Malignant teratoma, anaplastic	C0334521	C4287	Undifferentiated Immature Teratoma
9083/3	4	PT	Preferred term	Malignant teratoma, intermediate	C0334522	C4288	Intermediate Immature Teratoma
9084/0	4	PT	Preferred term	Dermoid cyst, NOS	C0011649	C9011	Dermoid Cyst
9084/0	Synonym	SY	Synonym	Dermoid, NOS	C0011649	C9011	Dermoid Cyst
9084/3	4	PT	Preferred term	Teratoma with malignant transformation	C0334523	C4289	Teratoma with Malignant Transformation
9084/3	Synonym	SY	Synonym	Dermoid cyst with malignant transformation	C0334523	C4289	Teratoma with Malignant Transformation
9084/3	Synonym	SY	Synonym	Dermoid cyst with secondary tumor	C0334523	C4289	Teratoma with Malignant Transformation
9085/3	4	PT	Preferred term	Mixed germ cell tumor	C0334524	C4290	Mixed Germ Cell Tumor
9085/3	Related	RT	Related term	Mixed teratoma and seminoma	CL033096	C9010	Mixed Teratoma and Seminoma
9090/0	4	PT	Preferred term	Struma ovarii, NOS	C0038478	C7468	Struma Ovarii
9090/3	4	PT	Preferred term	Struma ovarii, malignant	C0334525	C4291	Malignant Struma Ovarii
9091/1	4	PT	Preferred term	Strumal carcinoid	C0334526	C4292	Strumal Carcinoid
9091/1	Synonym	SY	Synonym	Struma ovarii and carcinoid	C0334526	C4292	Strumal Carcinoid
910	2	HT	Hierarchical term	Trophoblastic neoplasms	C0041182	C3422	Trophoblastic Tumor
9100/0	4	PT	Preferred term	Hydatidiform mole, NOS	C0020217	C3110	Hydatidiform Mole
9100/0	Synonym	SY	Synonym	Complete hydatidiform mole	C0678213	C4871	Complete Hydatidiform Mole
9100/0	Synonym	SY	Synonym	Hydatid mole	C0020217	C3110	Hydatidiform Mole
9100/1	4	PT	Preferred term	Invasive hydatidiform mole	C0008493	C6985	Invasive Hydatidiform Mole
9100/1	Synonym	SY	Synonym	Chorioadenoma destruens	C0008493	C6985	Invasive Hydatidiform Mole
9100/1	Synonym	SY	Synonym	Chorioadenoma	C0008493	C6985	Invasive Hydatidiform Mole
9100/1	Synonym	SY	Synonym	Invasive mole, NOS	C0008493	C6985	Invasive Hydatidiform Mole
9100/1	Synonym	SY	Synonym	Malignant hydatidiform mole	C0008493	C6985	Invasive Hydatidiform Mole
9100/3	4	PT	Preferred term	Choriocarcinoma, NOS	C0008497	C2948	Choriocarcinoma
9100/3	Synonym	SY	Synonym	Chorioepithelioma	C0008497	C2948	Choriocarcinoma
9100/3	Synonym	SY	Synonym	Chorionepithelioma	C0008497	C2948	Choriocarcinoma
9101/3	4	PT	Preferred term	Choriocarcinoma combined with other germ cell elements	C0334527	C66777	Choriocarcinoma Combined with Other Germ Cell Elements
9101/3	Synonym	SY	Synonym	Choriocarcinoma combined with embryonal carcinoma	C0334527	C66777	Choriocarcinoma Combined with Other Germ Cell Elements
9101/3	Synonym	SY	Synonym	Choriocarcinoma combined with teratoma	C0600067		
9102/3	4	PT	Preferred term	Malignant teratoma, trophoblastic	C0334528	C66778	Malignant Trophoblastic Teratoma
9103/0	4	PT	Preferred term	Partial hydatidiform mole	C0334529	C4293	Partial Hydatidiform Mole
9104/1	4	PT	Preferred term	Placental site trophoblastic tumor	C0206666	C3757	Placental-Site Gestational Trophoblastic Tumor
9105/3	4	PT	Preferred term	Trophoblastic tumor, epithelioid	C1266159	C6900	Epithelioid Trophoblastic Tumor
911	2	HT	Hierarchical term	Mesonephromas	C0334531	C4295	Mesonephric Neoplasm
9110/0	4	PT	Preferred term	Mesonephroma, benign	C0334530	C4294	Benign Mesonephroma
9110/0	Synonym	SY	Synonym	Mesonephric adenoma	C0334530	C4294	Benign Mesonephroma
9110/0	Synonym	SY	Synonym	Wolffian duct adenoma	C0334530	C4294	Benign Mesonephroma
9110/1	4	PT	Preferred term	Mesonephric tumor, NOS	C0334531	C4295	Mesonephric Neoplasm
9110/1	Synonym	SY	Synonym	Wolffian duct tumor	C0334531	C4295	Mesonephric Neoplasm
9110/3	4	PT	Preferred term	Mesonephroma, malignant	C0025490	C4072	Mesonephric Adenocarcinoma
9110/3	Synonym	SY	Synonym	Mesonephric adenocarcinoma	C0025490	C4072	Mesonephric Adenocarcinoma
9110/3	Synonym	SY	Synonym	Mesonephroma, NOS	C0334531	C4295	Mesonephric Neoplasm
9110/3	Synonym	SY	Synonym	Wolffian duct carcinoma	C0025490	C4072	Mesonephric Adenocarcinoma
912-916	2	HT	Hierarchical term	Blood vessel tumors	C0282607	C7387	Blood Vessel Neoplasm
9120/0	4	PT	Preferred term	Hemangioma, NOS	C0018916	C3085	Hemangioma
9120/0	Synonym	SY	Synonym	Angioma, NOS	C0018916	C3085	Hemangioma
9120/0	Synonym	SY	Synonym	Chorioangioma	C0018916	C3085	Hemangioma
9120/3	4	PT	Preferred term	Hemangiosarcoma	C0018923	C3088	Angiosarcoma
9120/3	Synonym	SY	Synonym	Angiosarcoma	C0018923	C3088	Angiosarcoma
9121/0	4	PT	Preferred term	Cavernous hemangioma	C0018920	C3086	Cavernous Hemangioma
9122/0	4	PT	Preferred term	Venous hemangioma	C0334532	C4296	Venous Hemangioma
9123/0	4	PT	Preferred term	Racemose hemangioma	C0334533		
9123/0	Synonym	SY	Synonym	Arteriovenous hemangioma	C0334533		
9124/3	4	PT	Preferred term	Kupffer cell sarcoma	C0334534		
9125/0	4	PT	Preferred term	Epithelioid hemangioma	C1368797	C4298	Epithelioid Hemangioma
9125/0	Synonym	SY	Synonym	Histiocytoid hemangioma	C1368797	C4298	Epithelioid Hemangioma
9130/0	4	PT	Preferred term	Hemangioendothelioma, benign	C0334536	C66779	Benign Hemangioendothelioma
9130/1	4	PT	Preferred term	Hemangioendothelioma, NOS	C0018915	C3084	Hemangioendothelioma
9130/1	Related	RT	Related term	Kaposiform hemangioendothelioma	C1367420	C27510	Kaposiform Hemangioendothelioma
9130/1	Synonym	SY	Synonym	Angioendothelioma	C0018915	C3084	Hemangioendothelioma
9130/3	4	PT	Preferred term	Hemangioendothelioma, malignant	C0018923	C3088	Angiosarcoma
9130/3	Synonym	SY	Synonym	Hemangioendothelial sarcoma	C0018923	C3088	Angiosarcoma
9131/0	4	PT	Preferred term	Capillary hemangioma	CL054971	C7457	Capillary Hemangioma
9131/0	Synonym	SY	Synonym	Hemangioma simplex	C0206733	C6645	Infantile Hemangioma
9131/0	Synonym	SY	Synonym	Infantile hemangioma	C0206733	C6645	Infantile Hemangioma
9131/0	Synonym	SY	Synonym	Juvenile hemangioma	C0206733	C6645	Infantile Hemangioma
9131/0	Synonym	SY	Synonym	Plexiform hemangioma	C0206733	C6645	Infantile Hemangioma
9132/0	4	PT	Preferred term	Intramuscular hemangioma	C0205789	C3699	Intramuscular Hemangioma
9133/1	4	PT	Preferred term	Epithelioid hemangioendothelioma, NOS	C0206732	C3800	Epithelioid Hemangioendothelioma
9133/3	4	PT	Preferred term	Epithelioid hemangioendothelioma, malignant	C0334538		
9133/3	Related	ORT	Obsolete related term	Intravascular bronchial alveolar tumor	C0334539		
9135/1	4	PT	Preferred term	Endovascular papillary angioendothelioma	C0346087	C7526	Papillary Intralymphatic Angioendothelioma
9135/1	Synonym	SY	Synonym	Dabska tumor	C0346087	C7526	Papillary Intralymphatic Angioendothelioma
9136/1	4	PT	Preferred term	Spindle cell hemangioendothelioma	C1304508	C4754	Spindle Cell Hemangioma
9136/1	Synonym	SY	Synonym	Spindle cell angioendothelioma	C1304508	C4754	Spindle Cell Hemangioma
9140/3	4	PT	Preferred term	Kaposi sarcoma	C0036220	C9087	Kaposi Sarcoma
9140/3	Synonym	SY	Synonym	Multiple hemorrhagic sarcoma	C0036220	C9087	Kaposi Sarcoma
9141/0	4	PT	Preferred term	Angiokeratoma	C0002985	C2874	Angiokeratoma
9142/0	4	PT	Preferred term	Verrucous keratotic hemangioma	C0334540	C4299	Verrucous Hemangioma
9150/0	4	PT	Preferred term	Hemangiopericytoma, benign	C0334541	C4300	Benign Hemangiopericytoma
9150/1	4	PT	Preferred term	Hemangiopericytoma, NOS	C0018922	C3087	Hemangiopericytoma
9150/1	Related	ORT	Obsolete related term	Hemangiopericytic meningioma	C0334610		
9150/3	4	PT	Preferred term	Hemangiopericytoma, malignant	C0334542	C4301	Malignant Hemangiopericytoma
9160/0	4	PT	Preferred term	Angiofibroma, NOS	C0206731	C3799	Angiofibroma
9160/0	Related	RT	Related term	Cellular angiofibroma	C1367534	C27257	Cellular Angiofibroma
9160/0	Related	RT	Related term	Giant cell angiofibroma	C1367539	C27256	Giant Cell Angiofibroma
9160/0	Synonym	IS	Inactive (obsolete) synonym	Fibrous papule of nose	C0334428		
9160/0	Synonym	IS	Inactive (obsolete) synonym	Involuting nevus	C0334428		
9160/0	Synonym	SY	Synonym	Juvenile angiofibroma	C0206731	C3799	Angiofibroma
9161/0	4	PT	Preferred term	Acquired tufted hemangioma	C1266161		
9161/1	4	PT	Preferred term	Hemangioblastoma	C0206734	C3801	Hemangioblastoma
9161/1	Synonym	SY	Synonym	Angioblastoma	C0206734	C3801	Hemangioblastoma
917	2	HT	Hierarchical term	Lymphatic vessel tumors	C0206619	C3723	Lymphatic Vessel Neoplasm
9170/0	4	PT	Preferred term	Lymphangioma, NOS	C0024221	C8965	Lymphangioma
9170/0	Synonym	SY	Synonym	Lymphangioendothelioma, NOS	C0024217	C3203	Acquired Progressive Lymphangioma
9170/3	4	PT	Preferred term	Lymphangiosarcoma	C0024224	C3205	Lymphangiosarcoma
9170/3	Synonym	SY	Synonym	Lymphangioendothelial sarcoma	C0024224	C3205	Lymphangiosarcoma
9170/3	Synonym	SY	Synonym	Lymphangioendothelioma, malignant	C0024224	C3205	Lymphangiosarcoma
9171/0	4	PT	Preferred term	Capillary lymphangioma	C0334543		
9172/0	4	PT	Preferred term	Cavernous lymphangioma	C0205828	C53316	Cavernous Lymphangioma
9173/0	4	PT	Preferred term	Cystic lymphangioma	C0206620	C3724	Cystic Hygroma
9173/0	Synonym	SY	Synonym	Cystic hygroma	C0206620	C3724	Cystic Hygroma
9173/0	Synonym	SY	Synonym	Hygroma, NOS	C0206620	C3724	Cystic Hygroma
9174/0	4	PT	Preferred term	Lymphangiomyoma	C0024223	C3204	Lymphangioleiomyoma
9174/1	4	PT	Preferred term	Lymphangiomyomatosis	C0751674	C3725	Lymphangioleiomyomatosis
9174/1	Synonym	SY	Synonym	Lymphangioleiomyomatosis	C0751674	C3725	Lymphangioleiomyomatosis
9175/0	4	PT	Preferred term	Hemolymphangioma	C0334544	C66792	Hemolymphangioma
918-924	2	HT	Hierarchical term	Osseous and chondromatous neoplasms	CL031131		
9180/0	4	PT	Preferred term	Osteoma, NOS	C0029440	C3296	Osteoma
9180/3	4	PT	Preferred term	Osteosarcoma, NOS	C0029463	C9145	Osteosarcoma
9180/3	Synonym	SY	Synonym	Osteoblastic sarcoma	C1704328	C53953	Osteoblastic Osteosarcoma
9180/3	Synonym	SY	Synonym	Osteochondrosarcoma	C0279603	C4021	Chondroblastic Osteosarcoma
9180/3	Synonym	SY	Synonym	Osteogenic sarcoma, NOS	C0029463	C9145	Osteosarcoma
9181/3	4	PT	Preferred term	Chondroblastic osteosarcoma	C0279603	C4021	Chondroblastic Osteosarcoma
9182/3	4	PT	Preferred term	Fibroblastic osteosarcoma	C0279602	C4020	Fibroblastic Osteosarcoma
9182/3	Synonym	SY	Synonym	Osteofibrosarcoma	C0279602	C4020	Fibroblastic Osteosarcoma
9183/3	4	PT	Preferred term	Telangiectatic osteosarcoma	C0259782	C3902	Telangiectatic Osteosarcoma
9184/3	4	PT	Preferred term	Osteosarcoma in Paget disease of bone	C0334546		
9185/3	4	PT	Preferred term	Small cell osteosarcoma	C0279622	C4023	Small Cell Osteosarcoma
9185/3	Synonym	SY	Synonym	Round cell osteosarcoma	C0279622	C4023	Small Cell Osteosarcoma
9186/3	4	PT	Preferred term	Central osteosarcoma	C1266166	C35870	Conventional Osteosarcoma
9186/3	Synonym	SY	Synonym	Conventional central osteosarcoma	C1266166	C35870	Conventional Osteosarcoma
9186/3	Synonym	SY	Synonym	Medullary osteosarcoma	C1266166	C35870	Conventional Osteosarcoma
9187/3	4	PT	Preferred term	Intraosseous well differentiated osteosarcoma	C1266163	C6474	Low Grade Central Osteosarcoma
9187/3	Synonym	SY	Synonym	Intraosseous low grade osteosarcoma	C1266163	C6474	Low Grade Central Osteosarcoma
9191/0	4	PT	Preferred term	Osteoid osteoma, NOS	C0029441	C3297	Osteoid Osteoma
9192/3	4	PT	Preferred term	Parosteal osteosarcoma	C0206642	C8969	Parosteal Osteosarcoma
9192/3	Synonym	SY	Synonym	Juxtacortical osteosarcoma	C0206642	C8969	Parosteal Osteosarcoma
9193/3	4	PT	Preferred term	Periosteal osteosarcoma	C1377843	C8970	Periosteal Osteosarcoma
9194/3	4	PT	Preferred term	High grade surface osteosarcoma	C1266165	C53958	High Grade Surface Osteosarcoma
9195/3	4	PT	Preferred term	Intracortical osteosarcoma	C1266166	C35870	Conventional Osteosarcoma
9200/0	4	PT	Preferred term	Osteoblastoma, NOS	C0029417	C3294	Osteoblastoma
9200/0	Synonym	SY	Synonym	Giant osteoid osteoma	C0029417	C3294	Osteoblastoma
9200/1	4	PT	Preferred term	Aggressive osteoblastoma	C0334547	C66796	Aggressive Osteoblastoma
9210/0	4	PT	Preferred term	Osteochondroma	C0029423	C3295	Osteochondroma
9210/0	Synonym	SY	Synonym	Cartilaginous exostosis	C0029423	C3295	Osteochondroma
9210/0	Synonym	SY	Synonym	Ecchondroma	C0029423	C3295	Osteochondroma
9210/0	Synonym	SY	Synonym	Osteocartilaginous exostosis	C0029423	C3295	Osteochondroma
9210/1	4	PT	Preferred term	Osteochondromatosis, NOS	C0206641	C53457	Multiple Osteochondromas
9210/1	Synonym	SY	Synonym	Ecchondrosis	C0206641	C53457	Multiple Osteochondromas
9220/0	4	PT	Preferred term	Chondroma, NOS	C0936248	C53459	Chondroma
9220/0	Related	RT	Related term	Enchondroma	C1704356	C3007	Enchondroma
9220/1	4	PT	Preferred term	Chondromatosis, NOS	C0206636	C35259	Chondromatosis
9220/3	4	PT	Preferred term	Chondrosarcoma, NOS	C0008479	C2946	Chondrosarcoma
9220/3	Related	RT	Related term	Fibrochondrosarcoma	C0008479	C2946	Chondrosarcoma
9221/0	4	PT	Preferred term	Juxtacortical chondroma	C4076530	C4302	Periosteal Chondroma
9221/0	Related	RT	Related term	Periosteal chondroma	C4076530	C4302	Periosteal Chondroma
9221/3	4	PT	Preferred term	Juxtacortical chondrosarcoma	C0334549	C7357	Periosteal Chondrosarcoma
9221/3	Related	RT	Related term	Periosteal chondrosarcoma	C0334549	C7357	Periosteal Chondrosarcoma
9230/0	4	PT	Preferred term	Chondroblastoma, NOS	C0008441	C2945	Chondroblastoma
9230/0	Synonym	SY	Synonym	Chondromatous giant cell tumor	C0008441	C2945	Chondroblastoma
9230/0	Synonym	SY	Synonym	Codman tumor	C0008441	C2945	Chondroblastoma
9230/3	4	PT	Preferred term	Chondroblastoma, malignant	C0334550		
9231/3	4	PT	Preferred term	Myxoid chondrosarcoma	C0334551	C4303	Myxoid Chondrosarcoma
9240/3	4	PT	Preferred term	Mesenchymal chondrosarcoma	C0206637	C3737	Mesenchymal Chondrosarcoma
9241/0	4	PT	Preferred term	Chondromyxoid fibroma	C0221290	C3830	Chondromyxoid Fibroma
9242/3	4	PT	Preferred term	Clear cell chondrosarcoma	C1266167	C6475	Clear Cell Chondrosarcoma
9243/3	4	PT	Preferred term	Dedifferentiated chondrosarcoma	C0862878	C6476	Dedifferentiated Chondrosarcoma
925	2	HT	Hierarchical term	Giant cell tumors	C0017525	C3055	Giant Cell Tumor
9250/1	4	PT	Preferred term	Giant cell tumor of bone, NOS	C0206638	C121932	Giant Cell Tumor of Bone
9250/1	Synonym	SY	Synonym	Osteoclastoma, NOS	C0206638	C121932	Giant Cell Tumor of Bone
